machine_id,timestamp,temperature,vibration,pressure,current,voltage,energy_kwh,production_count,quality_score,operating_status,failure_risk,is_weekend,hour,temp_rolling_mean,vib_rolling_mean,temp_rate,vib_rate,energy_efficiency
M-001,2026-05-31 08:00:00,35.03,12.94,18.07,8.59,216.73,23.69,49,0.9812,IDLE,0,1,8,35.03,12.94,0.0,0.0,2.0684
M-001,2026-05-31 10:00:00,33.88,12.51,17.48,8.3,212.87,23.69,49,0.9877,IDLE,0,1,10,34.455,12.725,-1.15,-0.43,2.0684
M-001,2026-05-31 12:00:00,36.59,13.51,18.88,8.97,215.51,23.69,49,0.9784,IDLE,0,1,12,35.1667,12.9867,2.71,1.0,2.0684
M-001,2026-05-31 14:00:00,34.32,12.67,17.71,8.41,217.86,23.69,49,0.9968,IDLE,0,1,14,34.955,12.9075,-2.27,-0.84,2.0684
M-001,2026-05-31 16:00:00,36.74,13.57,18.96,9.01,216.28,23.69,49,0.9853,IDLE,0,1,16,35.312,13.04,2.42,0.9,2.0684
M-001,2026-05-31 18:00:00,36.91,13.63,19.04,9.05,217.98,23.69,49,0.9798,IDLE,0,1,18,35.5783,13.1383,0.17,0.06,2.0684
M-001,2026-06-01 08:00:00,71.03,26.24,36.64,17.41,215.57,47.39,99,0.9742,RUNNING,0,0,8,41.5783,15.355,34.12,12.61,2.089
M-001,2026-06-01 10:00:00,65.78,24.3,33.93,16.12,217.76,47.39,99,0.9784,RUNNING,0,0,10,46.895,17.32,-5.25,-1.94,2.089
M-001,2026-06-01 12:00:00,66.62,24.61,34.36,16.33,216.74,47.39,99,0.9844,RUNNING,0,0,12,51.9,19.17,0.84,0.31,2.089
M-001,2026-06-01 14:00:00,76.13,28.12,39.27,18.66,219.29,47.39,99,0.9569,RUNNING,0,0,14,58.8683,21.745,9.51,3.51,2.089
M-001,2026-06-01 16:00:00,70.31,25.97,36.27,17.23,220.2,47.39,99,0.9664,RUNNING,0,0,16,64.4633,23.8117,-5.82,-2.15,2.089
